Date,crude,nat-gas,heat,gas,fuel_proxy,jet_proxy,gold,silver,copper,platinum,palladium,wheat,corn,oat,soybean,soy-oil,soy-meal,cocoa,coffee,sugar,cotton,orange,l-cattle,f-cattle,hog,dlr_index,yen,saudriyal,austdlr,nzdlr,rand,ringgit,rupiah,skr,nkr,dkr,hk,sfr,eur,brl
2008-02-07,88.11000061035156,8.10200023651123,2.4584999084472656,2.2678000926971436,2.4584999084472656,2.4584999084472656,906.0999755859375,16.735000610351562,3.447999954223633,,,1063.0,499.5,340.75,1331.5,55.119998931884766,361.70001220703125,2334.0,143.3000030517578,11.979999542236328,68.41000366210938,132.5500030517578,92.67500305175781,105.8499984741211,58.54999923706055,76.94000244140625,107.30999755859375,3.739000082015991,1.1175999641418457,1.270799994468689,7.688000202178955,3.2342000007629395,9336.5,6.515600204467773,5.5553998947143555,5.145199775695801,7.798299789428711,1.1031999588012695,0.6906599998474121,1.7584999799728394
2008-02-08,91.7699966430664,8.300999641418457,2.5541000366210938,2.3571999073028564,2.5541000366210938,2.5541000366210938,918.4000244140625,17.075000762939453,3.5344998836517334,,,1093.0,508.0,350.0,1339.0,55.41999816894531,361.5,2378.0,147.1999969482422,12.710000038146973,69.08999633789062,128.6999969482422,92.19999694824219,105.0250015258789,58.07500076293945,76.66999816894531,107.73999786376953,3.757200002670288,1.1175999641418457,1.268399953842163,7.768199920654297,3.2300000190734863,9231.900390625,6.4893999099731445,5.532700061798096,5.132900238037109,7.797599792480469,1.107300043106079,0.6422200202941895,1.7594000101089478
2008-02-11,93.58999633789062,8.531000137329102,2.6043999195098877,2.396199941635132,2.6043999195098877,2.6043999195098877,922.9000244140625,17.433000564575195,3.553499937057495,,,1048.0,503.5,344.0,1326.0,55.29999923706055,355.5,2386.0,147.89999389648438,12.65999984741211,67.16000366210938,126.69999694824219,92.17500305175781,105.9000015258789,57.849998474121094,76.58000183105469,106.83000183105469,3.7395999431610107,1.1060999631881714,1.2689000368118286,7.773600101470947,3.2427000999450684,9278.7001953125,6.494699954986572,5.525599956512451,5.138899803161621,7.796599864959717,1.1022000312805176,0.6895599961280823,1.7589000463485718
2008-02-12,92.77999877929688,8.435999870300293,2.591099977493286,2.368000030517578,2.591099977493286,2.591099977493286,907.4000244140625,17.218000411987305,3.555000066757202,,,1007.0,497.75,341.5,1321.0,55.65999984741211,352.29998779296875,2421.0,147.9499969482422,12.359999656677246,67.0199966430664,126.69999694824219,91.92500305175781,105.75,58.57500076293945,76.31999969482422,107.33999633789062,3.738600015640259,1.106600046157837,1.266800045967102,7.7204999923706055,3.240299940109253,9227.400390625,6.441999912261963,5.4791998863220215,5.109799861907959,7.798799991607666,1.1019999980926514,0.6857799887657166,1.7404999732971191
2008-02-13,93.2699966430664,8.387999534606934,2.615600109100342,2.389899969100952,2.615600109100342,2.615600109100342,906.5,17.326000213623047,3.5255000591278076,,,991.5,497.0,344.0,1328.5,56.2599983215332,351.79998779296875,2454.0,149.5,12.75,66.91000366210938,124.55000305175781,91.5,104.94999694824219,58.125,76.4000015258789,108.28199768066406,3.739799976348877,1.114799976348877,1.2740000486373901,7.720699787139893,3.2400999069213867,9264.5,6.413300037384033,5.467700004577637,5.120699882507324,7.7993998527526855,1.1081000566482544,0.6869999766349792,1.7438000440597534
2008-02-14,95.45999908447266,8.772000312805176,2.666599988937378,2.476099967956543,2.666599988937378,2.666599988937378,907.4000244140625,17.229999542236328,3.48799991607666,,,1032.0,511.0,354.5,1368.0,58.15999984741211,359.3999938964844,2467.0,152.60000610351562,13.100000381469727,69.91000366210938,124.80000305175781,91.5250015258789,104.42500305175781,58.375,76.1500015258789,107.79000091552734,3.7395999431610107,1.1086000204086304,1.2711000442504883,7.6691999435424805,3.2318999767303467,9202.7001953125,6.369100093841553,5.403299808502197,5.089700222015381,7.8003997802734375,1.0972000360488892,0.6828699707984924,1.7445000410079956
2008-02-15,95.5,8.65999984741211,2.646899938583374,2.493799924850464,2.646899938583374,2.646899938583374,902.7999877929688,17.097999572753906,3.5209999084472656,,,1027.5,514.75,358.0,1373.75,58.56999969482422,358.79998779296875,2496.0,149.85000610351562,13.260000228881836,68.81999969482422,122.0,91.4000015258789,104.625,64.19999694824219,76.0999984741211,107.80000305175781,3.7392001152038574,1.1018999814987183,1.2652000188827515,7.64900016784668,3.220099925994873,9173.2998046875,6.33519983291626,5.3831000328063965,5.076600074768066,7.797599792480469,1.0932999849319458,0.6813799738883972,1.747499942779541
2008-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,108.16000366210938,3.739500045776367,1.0910999774932861,1.2549999952316284,7.591000080108643,3.218600034713745,9187.7001953125,6.355800151824951,5.388299942016602,5.088399887084961,7.799300193786621,1.1016000509262085,0.6825900077819824,1.7324999570846558
2008-02-19,100.01000213623047,8.97700023651123,2.761399984359741,2.603100061416626,2.761399984359741,2.761399984359741,926.5999755859375,17.489999771118164,3.7249999046325684,2128.10009765625,,1036.0,520.0,368.0,1398.5,60.209999084472656,361.70001220703125,2489.0,155.0500030517578,13.619999885559082,69.44000244140625,122.25,91.375,104.9000015258789,64.5250015258789,76.0,107.91999816894531,3.7395999431610107,1.0853999853134155,1.2516000270843506,7.669000148773193,3.2244999408721924,9154.099609375,6.319200038909912,5.329999923706055,5.059899806976318,7.800000190734863,1.0943000316619873,0.6788899898529053,1.7293000221252441
2008-02-20,100.73999786376953,8.96500015258789,2.7546000480651855,2.585200071334839,2.7546000480651855,2.7546000480651855,934.5999755859375,17.7450008392334,3.7054998874664307,2113.800048828125,,1020.0,523.5,375.0,1397.75,60.68000030517578,360.3999938964844,2456.0,154.60000610351562,13.640000343322754,70.2300033569336,124.6500015258789,92.07499694824219,105.6500015258789,65.07499694824219,76.12000274658203,108.05000305175781,3.739000082015991,1.0872000455856323,1.2516000270843506,7.812399864196777,3.210200071334839,9139.099609375,6.319900035858154,5.33489990234375,5.061699867248535,7.799799919128418,1.0981999635696411,0.6792100071907043,1.7309999465942383
2008-02-21,98.2300033569336,8.890999794006348,2.738100051879883,2.5220000743865967,2.738100051879883,2.738100051879883,946.0999755859375,17.940000534057617,3.810499906539917,2163.199951171875,,1029.5,524.5,383.75,1405.75,61.310001373291016,359.29998779296875,2485.0,156.35000610351562,14.0,73.2300033569336,128.35000610351562,91.92500305175781,105.07499694824219,64.0,75.5999984741211,107.41000366210938,3.7390999794006348,1.0877000093460083,1.2488000392913818,7.8018999099731445,3.2193000316619873,9082.599609375,6.282800197601318,5.316699981689453,5.031700134277344,7.797999858856201,1.0901999473571777,0.6749899983406067,1.705199956893921
2008-02-22,98.80999755859375,9.145999908447266,2.763000011444092,2.5336999893188477,2.763000011444092,2.763000011444092,944.7000122070312,18.024999618530273,3.7869999408721924,2142.800048828125,,1049.5,522.25,384.0,1420.0,62.29999923706055,361.20001220703125,2562.0,160.14999389648438,13.779999732971191,75.62000274658203,124.55000305175781,92.0,103.92500305175781,63.5,75.5199966430664,107.19000244140625,3.740299940109253,1.0858999490737915,1.2364000082015991,7.730000019073486,3.2155001163482666,9164.7998046875,6.27370023727417,5.301700115203857,5.027100086212158,7.795199871063232,1.0849000215530396,0.6744899749755859,1.7050000429153442
2008-02-25,99.2300033569336,9.185999870300293,2.7853000164031982,2.5418999195098877,2.7853000164031982,2.7853000164031982,937.5999755859375,18.079999923706055,3.741499900817871,2128.5,,1109.5,533.25,404.0,1452.0,63.599998474121094,366.8999938964844,2587.0,161.6999969482422,13.710000038146973,77.5999984741211,126.5,92.5999984741211,104.19999694824219,60.5,75.52999877929688,108.02999877929688,3.7395999431610107,1.0776000022888184,1.2283999919891357,7.629799842834473,3.2121999263763428,9158.2998046875,6.271599769592285,5.309199810028076,5.025599956512451,7.796800136566162,1.0885000228881836,0.6740400195121765,1.7005000114440918
2008-02-26,100.87999725341797,9.206000328063965,2.815000057220459,2.55049991607666,2.815000057220459,2.815000057220459,946.0999755859375,18.711999893188477,3.7809998989105225,2130.89990234375,,1199.5,530.5,417.25,1466.75,64.2699966430664,371.20001220703125,2622.0,158.1999969482422,14.050000190734863,78.47000122070312,126.1500015258789,93.25,104.7750015258789,60.75,74.76000213623047,107.3499984741211,3.739300012588501,1.0707000494003296,1.2240999937057495,7.534299850463867,3.1886000633239746,9037.2001953125,6.201300144195557,5.234399795532227,4.971700191497803,7.793799877166748,1.0759999752044678,0.6668400168418884,1.684499979019165
2008-02-27,99.63999938964844,8.930000305175781,2.7711000442504883,2.4776999950408936,2.7711000442504883,2.7711000442504883,958.2000122070312,19.20199966430664,3.8399999141693115,2127.300048828125,,1280.0,525.0,412.5,1459.0,64.47000122070312,365.8999938964844,2717.0,161.5,14.109999656677246,76.8499984741211,127.94999694824219,93.2249984741211,105.0999984741211,60.974998474121094,74.20999908447266,106.37000274658203,3.7392001152038574,1.0618000030517578,1.2258000373840332,7.422699928283691,3.2051000595092773,9036.7998046875,6.1921000480651855,5.207600116729736,4.9278998374938965,7.784800052642822,1.0627000331878662,0.6614599823951721,1.6634999513626099
