week,ORF,Der Standard,Kronen Zeitung,Kurier,Die Presse,Profil,Kleine Zeitung,Heute,Österreich,News,Format,derstandard.at,krone.at
2016-04-03,54,4,3,5,2,1.2436791034577013,11.193111931119311,19.89886565532322,78.35178351783517,0.0,0.0,0.0,2.0
2016-04-10,56,4,2,5,2,1.2436791034577013,9.94943282766161,19.89886565532322,80.83914172475059,0.0,0.0,0.0,2.0
2016-04-17,55,4,2,6,2,1.2436791034577013,9.94943282766161,19.89886565532322,80.83914172475059,0.0,0.0,0.0,2.0
2016-04-24,68,4,3,6,3,1.2436791034577013,12.436791034577013,23.629902965696324,100.0,0.0,0.0,0.0,3.0
2016-05-01,55,4,2,6,2,1.2436791034577013,9.94943282766161,21.14254475878092,80.83914172475059,0.0,0.0,0.0,2.0
2016-05-08,61,4,3,6,2,1.2436791034577013,9.94943282766161,19.89886565532322,88.30121634549678,0.0,0.0,0.0,2.0
2016-05-15,58,4,3,6,2,1.2436791034577013,9.94943282766161,24.873582069154025,83.32649993166598,0.0,0.0,0.0,3.0
2016-05-22,100,7,4,8,4,1.2436791034577013,12.436791034577013,27.360940276069428,100.0,0.0,0.0,0.0,4.0
2016-05-29,65,4,3,6,2,1.2436791034577013,9.94943282766161,22.386223862238623,88.30121634549678,0.0,0.0,0.0,3.0
2016-06-05,59,4,3,6,2,1.2436791034577013,11.193111931119311,21.14254475878092,84.57017903512369,0.0,0.0,0.0,2.0
2016-06-12,97,4,3,6,2,1.2436791034577013,9.94943282766161,26.117261172611727,100.0,0.0,0.0,0.0,3.0
2016-06-19,77,5,3,7,2,1.2436791034577013,9.94943282766161,27.360940276069428,95.763290966243,0.0,0.0,0.0,3.0
2016-06-26,80,4,3,6,2,1.2436791034577013,11.193111931119311,26.117261172611727,75.86442531091978,0.0,0.0,0.0,3.0
2016-07-03,68,4,3,6,2,1.2436791034577013,11.193111931119311,22.386223862238623,78.35178351783517,0.0,0.0,0.0,2.0
2016-07-10,64,4,3,6,2,1.2436791034577013,11.193111931119311,22.386223862238623,90.7885745524122,0.0,0.0,0.0,3.0
2016-07-17,66,4,3,6,2,1.2436791034577013,12.436791034577013,22.386223862238623,75.86442531091978,0.0,0.0,0.0,3.0
2016-07-24,63,4,3,6,2,1.2436791034577013,11.193111931119311,22.386223862238623,78.35178351783517,0.0,0.0,0.0,3.0
2016-07-31,61,4,3,6,2,1.2436791034577013,11.193111931119311,22.386223862238623,77.10810441437748,0.0,0.0,0.0,3.0
2016-08-07,62,3,3,5,2,1.2436791034577013,9.94943282766161,19.89886565532322,77.10810441437748,0.0,0.0,0.0,3.0
2016-08-14,61,3,3,5,2,1.2436791034577013,11.193111931119311,23.629902965696324,75.86442531091978,0.0,0.0,0.0,2.0
2016-08-21,56,3,3,6,2,1.2436791034577013,9.94943282766161,21.14254475878092,77.10810441437748,0.0,0.0,0.0,3.0
2016-08-28,51,3,3,6,2,1.2436791034577013,9.94943282766161,21.14254475878092,77.10810441437748,0.0,0.0,0.0,2.0
2016-09-04,51,4,3,6,2,1.2436791034577013,11.193111931119311,22.386223862238623,79.59546262129288,0.0,0.0,0.0,3.0
2016-09-11,53,3,3,6,2,1.2436791034577013,9.94943282766161,22.386223862238623,75.86442531091978,0.0,0.0,0.0,2.0
2016-09-18,51,4,3,6,2,1.2436791034577013,12.436791034577013,21.14254475878092,75.86442531091978,0.0,0.0,0.0,2.0
2016-09-25,52,4,3,5,2,1.2436791034577013,9.94943282766161,22.386223862238623,75.86442531091978,0.0,0.0,0.0,2.0
2016-10-02,50,3,3,5,2,1.2436791034577013,7.462074620746208,22.386223862238623,79.59546262129288,0.0,0.0,0.0,2.0
2016-10-09,52,3,3,5,2,1.2436791034577013,7.462074620746208,22.386223862238623,80.83914172475059,0.0,0.0,0.0,3.0
2016-10-16,55,3,3,5,2,1.2436791034577013,8.705753724203909,21.14254475878092,80.83914172475059,0.0,0.0,0.0,2.0
2016-10-23,57,3,3,5,2,1.2436791034577013,7.462074620746208,23.629902965696324,82.08282082820828,0.0,0.0,0.0,2.0
2016-10-30,49,3,3,5,2,1.2436791034577013,7.462074620746208,23.629902965696324,75.86442531091978,0.0,0.0,0.0,3.0
2016-11-06,62,4,4,6,2,1.2436791034577013,8.705753724203909,21.14254475878092,79.59546262129288,0.0,0.0,0.0,3.0
2016-11-13,54,3,3,5,2,1.2436791034577013,7.462074620746208,22.386223862238623,75.86442531091978,0.0,0.0,0.0,3.0
2016-11-20,50,4,3,5,2,1.2436791034577013,7.462074620746208,19.89886565532322,80.83914172475059,0.0,0.0,0.0,3.0
2016-11-27,54,4,4,6,2,1.2436791034577013,7.462074620746208,19.89886565532322,75.86442531091978,0.0,0.0,0.0,3.0
2016-12-04,59,4,4,6,2,1.2436791034577013,7.462074620746208,23.629902965696324,89.54489544895449,0.0,0.0,0.0,3.0
2016-12-11,51,3,3,6,2,1.2436791034577013,7.462074620746208,21.14254475878092,73.37706710400437,0.0,0.0,0.0,2.0
2016-12-18,61,4,4,7,2,1.2436791034577013,7.462074620746208,23.629902965696324,72.13338800054667,0.0,0.0,0.0,3.0
2016-12-25,59,3,3,5,2,1.2436791034577013,6.218395517288506,27.360940276069428,69.64602979363127,0.0,0.0,0.0,2.0
